id,task,truth
37,"Does the following tweet have positive sentiment to the Google company ? 
So so excited for all of the new Android features! Awesomeness :) #Android #ICS #Google #GalaxyNexus",1
38,"Does the following tweet have positive sentiment to the Google company ? 
Well the event is now over, time to change my pants #Google #Android #Samsung #Jizz",1
39,"Does the following tweet have positive sentiment to the Microsoft company ? 
Hey parents! Did you know about the free tools from #Microsoft that help keep your kids safe online? Live Family Safety http://t.co/muuWbGPn",1
40,"Does the following tweet have positive sentiment to the Apple company ? 
Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.",1
41,"Does the following tweet have positive sentiment to the Apple company ? 
@apple why does #iPhone4 plus #iOS5 equal half the battery life?",0
42,"Does the following tweet have positive sentiment to the Google company ? 
Check this video out -- Introducing Galaxy Nexus. Simple, beautiful, beyond smart http://t.co/fiTI6ZIA 透過 @youtube #android #nexus #google",1
43,"Does the following tweet have positive sentiment to the Microsoft company ? 
Thanks to Steffen Krause #Microsoft for a great SQL Server Session @EuropeanSP.",1
44,"Does the following tweet have positive sentiment to the Microsoft company ? 
With #Windows 8, #Microsoft can't forget past antitrust issues http://t.co/z4jWLQVu",0
45,"Does the following tweet have positive sentiment to the Microsoft company ? 
Watching podcast of Steve Jobs & Bill Gates at 07 D5. Gates sucks at tech predictions! All talk #Apple #Microsoft",0
46,"Does the following tweet have positive sentiment to the Apple company ? 
God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)",1
47,"Does the following tweet have positive sentiment to the Apple company ? 
Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.",0
48,"Does the following tweet have positive sentiment to the Google company ? 
ICS on the Galaxy Nexus has very smooth and responsive screen and widget navigation. #Google #Android #ICS",1
49,"Does the following tweet have positive sentiment to the Twitter company ? 
I love #twitter #twitterswag",1
50,"Does the following tweet have positive sentiment to the Google company ? 
Starting to doubt #google android policy: no released android sources since 2.3.3! Curious for an opensource project to say the least...",0
51,"Does the following tweet have positive sentiment to the Twitter company ? 
#twitter is a fad. Was addicted now I don't rly care.",0
52,"Does the following tweet have positive sentiment to the Apple company ? 
#appleupdates
2 success stories- iPhone & iPad 2.
Now been on phone to Apple 45 mins. iPad 1 WILL not. Wasting my time 
@apple
#Replaceit!",0
53,"Does the following tweet have positive sentiment to the Google company ? 
Updated live wallpaper. Virtual buttons that disappear when you are in full screen mode. More awesome widgets. #Android #Google",1
54,"Does the following tweet have positive sentiment to the Apple company ? 
@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden, so please don't remind us of it.",0
55,"Does the following tweet have positive sentiment to the Apple company ? 
If @apple doesn't fix iOS5 this week, I'm buying a droid #emptythreats",0
56,"Does the following tweet have positive sentiment to the Apple company ? 
@apple give me my apps back!!!",0
57,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft's #SteveBallmer attacks #Android phones ..... well #windows7mobile is gay, you metro! http://t.co/sQnE1iLb via @Telegraph",0
58,"Does the following tweet have positive sentiment to the Twitter company ? 
#twitter app also doesn't show me the conversation when I touch a tweet.",0
59,"Does the following tweet have positive sentiment to the Microsoft company ? 
one more picture of the services provided in the #cloud. I am in love with #Microsoft http://t.co/Q0QLeokZ",1
60,"Does the following tweet have positive sentiment to the Twitter company ? 
I need to get off #twitter",0
61,"Does the following tweet have positive sentiment to the Twitter company ? 
But fb still sucks &amp; #twitter beats it anyday!",1
62,"Does the following tweet have positive sentiment to the Google company ? 
Good to see #Google finally turning their focus on user experience. http://t.co/AYhOKgo8 #IceCreamSandwich #Android",1
63,"Does the following tweet have positive sentiment to the Apple company ? 
What's wrong with Siri today @apple",0
64,"Does the following tweet have positive sentiment to the Google company ? 
Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/mSWX6Eo6   #android #google #nexus #BigMAMA",1
65,"Does the following tweet have positive sentiment to the Apple company ? 
none of my apps work after the new ios from @apple. what do i do?!?",0
66,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Nokia workers ask, is chief executive a #Microsoft mole? http://t.co/lWJP9GiU",0
67,"Does the following tweet have positive sentiment to the Google company ? 
#google #galaxynexus #icecream great",1
68,"Does the following tweet have positive sentiment to the Microsoft company ? 
Can't wait until I can visit the holodeck! Thanks for sharing. RT @karljuhlke Beam me up #Microsoft! Microsoft has... http://t.co/ZGbk3xnK",1
69,"Does the following tweet have positive sentiment to the Microsoft company ? 
""Yeh behatreen samay hay parivar honeka"" says the #microsoft #ad in hindi. Preaching family values to indians? Get a local ad agency guys",0
70,"Does the following tweet have positive sentiment to the Apple company ? 
Just downloaded IOS 5. It's better than I expected! #thankyou @apple",1
71,"Does the following tweet have positive sentiment to the Apple company ? 
From which companies do you experience the best customer service aside from @zappos and @apple?",1
72,"Does the following tweet have positive sentiment to the Microsoft company ? 
RT @ralphbin: #Microsoft Research shows #Holodesk - looks like science fiction, but is science fact http://t.co/w5OCrbpm  Cool but  no sound",1
73,"Does the following tweet have positive sentiment to the Apple company ? 
I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm",0
74,"Does the following tweet have positive sentiment to the Google company ? 
Soon. Getting ready for the party. #google #android #icecreamsandwich http://t.co/eZjCzLt6",1
75,"Does the following tweet have positive sentiment to the Apple company ? 
Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!",0
76,"Does the following tweet have positive sentiment to the Apple company ? 
good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb",0
77,"Does the following tweet have positive sentiment to the Google company ? 
RT @LCmediaHouse: 4chan's Chris Poole: #Facebook & #Google Are Doing It Wrong http://t.co/ZIxfa91N | via @RWW #socialmedia",0
78,"Does the following tweet have positive sentiment to the Apple company ? 
Is it me or does my #iPhone run slower since the #iOS 5 update? @apple @Verizon",0
79,"Does the following tweet have positive sentiment to the Microsoft company ? 
Office blues *drink?* RT @wuppy: #microsoft fail #notresponding for fcucks sake  http://t.co/VtYbqI91",0
80,"Does the following tweet have positive sentiment to the Google company ? 
Inline keyboard spell check is nice #ICS with native voice dictation. #Android #Google",1
81,"Does the following tweet have positive sentiment to the Apple company ? 
I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!",0
82,"Does the following tweet have positive sentiment to the Google company ? 
Icecream Sandwich looking good so far. #android #google",1
83,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft has frozen some #Xbox Live (XBL) accounts after online gamers report they have been hacked. http://t.co/MdQhb6x3",0
84,"Does the following tweet have positive sentiment to the Apple company ? 
@apple So I went to the 5th Ave store and was told I could wait about 4 hours to get a 4S. Needless to say I'm back at the hotel relaxing.",0
85,"Does the following tweet have positive sentiment to the Apple company ? 
Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade",0
86,"Does the following tweet have positive sentiment to the Google company ? 
another android demo #fail! #google",0
87,"Does the following tweet have positive sentiment to the Twitter company ? 
Anyone else having trouble with the (i)Pad #twitter app not updating @'s? I get notified but can't see them in the app.",0
88,"Does the following tweet have positive sentiment to the Apple company ? 
@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed",1
89,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Google go went gone..server issues! first time since ages...now my faith in Tech. from #RIM to #Microsoft has been completely lifted",0
90,"Does the following tweet have positive sentiment to the Google company ? 
Probably the best #IceCreamSandwich (yet)! #Samsung and #Google's event live blog by @engadget! Why haven't I switched to #Android again?",1
91,"Does the following tweet have positive sentiment to the Apple company ? 
RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...",0
92,"Does the following tweet have positive sentiment to the Google company ? 
#google #icecreamsandwich totally blowing #Apple iShit away...",1
93,"Does the following tweet have positive sentiment to the Apple company ? 
RT @MikeFerri: If @apple doesn't fix iOS5 this week, I'm buying a droid #emptythreats",0
94,"Does the following tweet have positive sentiment to the Google company ? 
RT @SebasCoulombe: Thanks to Samsung and Google, I'm now craving for some Ice Cream Sandwich !  #IceCreamSandwich #Google #Samsung",1
95,"Does the following tweet have positive sentiment to the Google company ? 
RT @Mr_Lister: Loves the new presentations tool for Google Docs - particularly themes and adding video via URL #google #sd33 #edchat #ed ...",1
96,"Does the following tweet have positive sentiment to the Google company ? 
The only letdown of the Samsung Galaxy Nexus phone is the 5.0 MP Camera. #ICS #Samsung #SamsungGalaxyNexus #SGN #Android #Google",0
97,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft just bought #Skype officially. So how's the future of #Skype on any other devices/operating systems? :(",0
98,"Does the following tweet have positive sentiment to the Google company ? 
Fantastic work from #Samsung and #Google on the #GalaxyNexus superphone and the new #Android #ICS. Very impressive.",1
99,"Does the following tweet have positive sentiment to the Twitter company ? 
Dear #twitter I have missed you. Promise i'll keep in touch more often",1
100,"Does the following tweet have positive sentiment to the Apple company ? 
Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!",0
101,"Does the following tweet have positive sentiment to the Apple company ? 
@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!",1
102,"Does the following tweet have positive sentiment to the Apple company ? 
#ios5 getting sloppy @apple. U need to check your QA team. Too many issues with apps, data and syncing",0
103,"Does the following tweet have positive sentiment to the Apple company ? 
Turns out my computer isn't as fixed as it is meant to be. Fuck you @Apple, I'm going back to your Genius Bar to complain. #annoyed",0
104,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Skype often crashing: #microsoft, what are you doing?",0
105,"Does the following tweet have positive sentiment to the Microsoft company ? 
RT @schestowitz: When #Microsoft broke the law it played ""victim"". Now it engages in racketeering, calls victims ""outlaws"" (""respect our ...",0
106,"Does the following tweet have positive sentiment to the Microsoft company ? 
ICS #android is going to kill both Mango #wmp #microsoft and #rimm.  it already killed webOS and Nokia OS...",0
107,"Does the following tweet have positive sentiment to the Apple company ? 
Suddenly lost all address book on @3GS iPhone. And someone was using my @Apple ID. It all fucked up.",0
108,"Does the following tweet have positive sentiment to the Apple company ? 
@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do.",0
109,"Does the following tweet have positive sentiment to the Apple company ? 
Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing",0
110,"Does the following tweet have positive sentiment to the Google company ? 
The new #Samsungnexus and 4.0 OS make the #iPhone4s look like an old bag phone. Nice job #Google and #Samsung.",1
111,"Does the following tweet have positive sentiment to the Twitter company ? 
#Twitter timeline and mentions up the shit :(",0
112,"Does the following tweet have positive sentiment to the Apple company ? 
Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6",0
113,"Does the following tweet have positive sentiment to the Google company ? 
This Data Usage feature looks amazing on ICS. #android #samsung #google #GALAXYNexus",1
114,"Does the following tweet have positive sentiment to the Apple company ? 
Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now",1
115,"Does the following tweet have positive sentiment to the Apple company ? 
Where is my iPhone!?!?!?!
@apple",0
116,"Does the following tweet have positive sentiment to the Apple company ? 
@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!",0
117,"Does the following tweet have positive sentiment to the Apple company ? 
Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall",0
118,"Does the following tweet have positive sentiment to the Apple company ? 
@PrJusto Don't question the @Apple they will remember your dissent!",0
119,"Does the following tweet have positive sentiment to the Twitter company ? 
RT @derryXOwners: I like #twitter",1
120,"Does the following tweet have positive sentiment to the Google company ? 
first thing on #google's to do list: hire a performance coach.",0
121,"Does the following tweet have positive sentiment to the Google company ? 
#android 4.0!!  Ice Cream Sandwich will now make all other smartphone operating systems look outdated.  #Androidbeam Wowww..  #google",1
122,"Does the following tweet have positive sentiment to the Microsoft company ? 
Apple + Microsoft...The Difference: How #Apple Eclipsed #Microsoft @PSFK: http://t.co/Rmi8oSMi #brand #brands #marketing #innovation",0
123,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft licensing process is annoying !!!",0
124,"Does the following tweet have positive sentiment to the Microsoft company ? 
#microsoft #careers site is giving errors for any thing i search!! #weird
http://t.co/vJ2JpKtM http://t.co/02dYONXz",0
125,"Does the following tweet have positive sentiment to the Microsoft company ? 
#BOFH excuse #447: According to #Microsoft, it's by design | #IFollowBack #Instantly",0
126,"Does the following tweet have positive sentiment to the Twitter company ? 
Got this new #twitter app and a fresh ass theme with it! FWM",1
127,"Does the following tweet have positive sentiment to the Apple company ? 
I just sent my grandma a post card using my #CardsApp thanks @Apple",1
128,"Does the following tweet have positive sentiment to the Apple company ? 
any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious",0
129,"Does the following tweet have positive sentiment to the Twitter company ? 
*singing*! everytime  I  try  to leave something keeps  pulling me  back  (me  back) telling me  I  need  #Twitter & all that. lol  (:",1
130,"Does the following tweet have positive sentiment to the Apple company ? 
New macbook is too sick @apple",1
131,"Does the following tweet have positive sentiment to the Apple company ? 
@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.",1
132,"Does the following tweet have positive sentiment to the Twitter company ? 
I lovee #Twitter   #swaag!",1
133,"Does the following tweet have positive sentiment to the Apple company ? 
@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life.",0
134,"Does the following tweet have positive sentiment to the Microsoft company ? 
I sware to go, #windows and #microsoft will be the death of me...I don't know why I keep giving windows (cont) http://t.co/3rkOchzr",0
135,"Does the following tweet have positive sentiment to the Apple company ? 
I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out",1
136,"Does the following tweet have positive sentiment to the Google company ? 
iPhone users find the nearest trash for your device it's the correct place ! #Android #Apple #Google #iPhone",1
137,"Does the following tweet have positive sentiment to the Microsoft company ? 
@theresamarosy haha k, thought everybody knew #Microsoft sucks.",0
138,"Does the following tweet have positive sentiment to the Apple company ? 
@Apple unhappy again with service/product quality. Won't buy @Apple again.",0
139,"Does the following tweet have positive sentiment to the Twitter company ? 
fuck that facebook bullshit. #twitter bitch",1
140,"Does the following tweet have positive sentiment to the Apple company ? 
RT @JoelBurns: Dear @Apple, it's me again. Thank for beautiful new iOS features. But I miss some of the old ones. Lk making calls & texts
&gt;(",0
141,"Does the following tweet have positive sentiment to the Twitter company ? 
Laying down on my bed and I'm on my favorite app. #twitternation #twitter &gt; #facebook",1
142,"Does the following tweet have positive sentiment to the Apple company ? 
RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ...",0
143,"Does the following tweet have positive sentiment to the Apple company ? 
Hey @apple why can't I share a reminder list from my iPhone?
Also why can't I login to the iCloud webpage to modify sharing from my phone?",0
144,"Does the following tweet have positive sentiment to the Google company ? 
The next #Google #Nexus phone is here!!. http://t.co/edSwoXoC",1
145,"Does the following tweet have positive sentiment to the Microsoft company ? 
@MatthewGPhy One Operating System to rule them all and in the darkness bind them.  #Microsoft",0
146,"Does the following tweet have positive sentiment to the Google company ? 
The #Google guys are illustrating the perils of a live demonstration admirably. #GalaxyNexus #ICS #Android",0
147,"Does the following tweet have positive sentiment to the Google company ? 
Slick beam capabilities included in Android 4.0. Touch 2 devices together and select ""Beam"" and content is transferred #Google #Android #ICS",1
148,"Does the following tweet have positive sentiment to the Apple company ? 
S/O to @apple for replacing my phone for free",1
149,"Does the following tweet have positive sentiment to the Apple company ? 
i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone",1
150,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft is currently paying to produce #swpats propaganda to lobby politicians with -- to make racketeering seem ""acceptable""",0
151,"Does the following tweet have positive sentiment to the Google company ? 
I hate tron theme #Google #ICS",0
152,"Does the following tweet have positive sentiment to the Twitter company ? 
I keep forgettin how much i really like #Twitter lol",1
153,"Does the following tweet have positive sentiment to the Google company ? 
dear #google & #samsung... learn some presentation 101 first. please.",0
154,"Does the following tweet have positive sentiment to the Apple company ? 
90 minutes after being at 100% my iPhone 4 (post #ios5 upgrade) has lost 40% of its charge and the @apple store folks are out of ideas.",0
155,"Does the following tweet have positive sentiment to the Google company ? 
RT @Assim99: Dear #Google, I want the Galaxy Nexus NOW. Please send it to me by email or something - I know you have the technology",1
156,"Does the following tweet have positive sentiment to the Google company ? 
Iphone 4s almost had me ... ALMOST !! Ice Cream Sandwich FTW !! http://t.co/p32Ehduq #android #google",1
157,"Does the following tweet have positive sentiment to the Apple company ? 
@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed.",0
158,"Does the following tweet have positive sentiment to the Google company ? 
Why is #Google whoring for SAMSUNG? #ICS",0
159,"Does the following tweet have positive sentiment to the Apple company ? 
@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem, or give me the ipad2",0
160,"Does the following tweet have positive sentiment to the Google company ? 
#excellent #AngryBirds #Google #Chrome #Commercial 1080p HD http://t.co/LLsLrxFM via @youtube",1
161,"Does the following tweet have positive sentiment to the Apple company ? 
Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.",1
162,"Does the following tweet have positive sentiment to the Apple company ? 
Dear @Apple,Congratulations, I am suing my insurance company and you just managed to make it to the top of my shit list. #Ineedthosepictures",0
163,"Does the following tweet have positive sentiment to the Google company ? 
RT @SamsungMobileCA: #GALAXYNexus has arrived! #Samsung #Google",1
164,"Does the following tweet have positive sentiment to the Apple company ? 
RT @JoelBurns: Dear @Apple, it's me again. Thanks for beautiful new iOS features. But I miss some of the old ones. Like making calls & t ...",0
165,"Does the following tweet have positive sentiment to the Microsoft company ? 
I became a #Citizenship #Member at @Microsoft ...Thanks #GOD :) #MSPEgypt #Microsoft",1
166,"Does the following tweet have positive sentiment to the Twitter company ? 
Yep it's official, my tweets that get RT'd aren't showing me when they get RT'd. Dammit #Twitter, sometimes it's #Love/Hate thing we have!!",0
167,"Does the following tweet have positive sentiment to the Microsoft company ? 
If you didn't know - Free #Microsoft #HTML5 @Webcamps on West Coast MountainView Redmond Portland check them out  http://t.co/L86OWQRE",1
168,"Does the following tweet have positive sentiment to the Apple company ? 
Hmmmm a lot of #Siri features don't work in Canada. Location and directions? Seriously @apple come on!",0
169,"Does the following tweet have positive sentiment to the Apple company ? 
Just apply for a job at @Apple, hope they call me lol",1
170,"Does the following tweet have positive sentiment to the Microsoft company ? 
My#Dell comp on shitty #Microsoft vista blue screened i swear this is steve jobs ghost coming back to finish what he started#appledomination",0
171,"Does the following tweet have positive sentiment to the Google company ? 
The awkward moment when google #chrome take a hell of a lot time to load #googleplus #google",0
172,"Does the following tweet have positive sentiment to the Twitter company ? 
RT @mainey_maine: RT @ItalianJoya i better be able to see my RT's tomorrow #twitter and tell that lil blue ass bird, (cont) http://t.co/ ...",0
173,"Does the following tweet have positive sentiment to the Apple company ? 
the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple",1
174,"Does the following tweet have positive sentiment to the Twitter company ? 
@MsTapoutBarbie Yep figured my shit is jacked. Dammit #Twitter!!",0
175,"Does the following tweet have positive sentiment to the Apple company ? 
@apple battery life suck on iOS 5",0
176,"Does the following tweet have positive sentiment to the Apple company ? 
@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5",0
177,"Does the following tweet have positive sentiment to the Microsoft company ? 
RT @amarsanghera The fact that #Microsoft are using a #QRCode alongside one of their colour code shows the format is failing, opinions…",0
178,"Does the following tweet have positive sentiment to the Apple company ? 
@semilshah yeah except that when you ask for a receipt, it takes them 30 minutes to figure out where it printed out. Fix that, @Apple!",0
179,"Does the following tweet have positive sentiment to the Microsoft company ? 
#windowsphone #wp7 #Microsoft really @google ? http://t.co/vI0htJRr  #icecreamsandwichfail innovation by imitation sad sad",1
180,"Does the following tweet have positive sentiment to the Apple company ? 
Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.",1
181,"Does the following tweet have positive sentiment to the Apple company ? 
What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.",0
182,"Does the following tweet have positive sentiment to the Twitter company ? 
Thank you #twitter for not giving me the 10 tweets that have been tweeted at me in the past 3 days! Lol #blameitontheiphone #ineedtoupdate",0
183,"Does the following tweet have positive sentiment to the Apple company ? 
@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.",1
184,"Does the following tweet have positive sentiment to the Google company ? 
Oh yeah I'm in I want one now #Google really did a great job #ICS",1
185,"Does the following tweet have positive sentiment to the Microsoft company ? 
Mango shows #Microsoft still has the taste for smartphone success http://t.co/AFm8VSMm  #wp7 #mango",1
186,"Does the following tweet have positive sentiment to the Apple company ? 
What happened? RT @xCuntNuggetx: Never purchasing another item from @apple.",0
187,"Does the following tweet have positive sentiment to the Apple company ? 
#10twitterpeopleiwouldliketomeet 
@coollike @TheGadgetShow  @thelittleappkid @Jon4Lakers @BenRubery @Apple @twitter @FXhomeHitFilm  (-2)",1
188,"Does the following tweet have positive sentiment to the Microsoft company ? 
Is #Nokia chief executive a #Microsoft mole? http://t.co/jkOTcrMb
Stephen Elop accused of destroying Nokia so Microsoft can buy it cheap.",0
189,"Does the following tweet have positive sentiment to the Apple company ? 
@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg",0
190,"Does the following tweet have positive sentiment to the Twitter company ? 
In that #twitter mood!",1
191,"Does the following tweet have positive sentiment to the Google company ? 
RT @shagorikah: Telegraph reports that the biggest threat to #facebook is its power users have shifted to #twitter or #google+ http://t. ...",1
192,"Does the following tweet have positive sentiment to the Google company ? 
WHAT!!!!!! #Google #Chrome syncs with your #Android device's bookmarks!?!?! NICE!",1
193,"Does the following tweet have positive sentiment to the Twitter company ? 
Good lord #twitter send my bloody tweets! #ihateyourightnow",0
194,"Does the following tweet have positive sentiment to the Microsoft company ? 
[WebProNews Finance] #Yahoo Revenue Drop Attributed to #Microsoft Deal http://t.co/EOrOSstX",0
195,"Does the following tweet have positive sentiment to the Apple company ? 
Spoke to an @Apple rep on phone & could hear her tv blaring in the bg.  She said, ""I can't actually help u, just direct u back to the web""",0
